Name,Address,CVR,Status,Company Type
Mono Loco,"Østre Havnepark 25, st. th, 9000 Aalborg, 43736094, Aktiv, Enkeltmandsvirksomhed",,,
Aspendos,"Havnen 16, 9370 Hals, 42413747, Aktiv, Enkeltmandsvirksomhed",,,
Hasseris Pizza I/S,"Thulebakken 46, 9000 Aalborg, 43458949, Aktiv, Interessentskab",,,
Wakaa Pizza,"Borgergade 15, st. th, 9000 Aalborg, 45337677, Aktiv, Enkeltmandsvirksomhed",,,
SALMAN IBN SIDDIQUE,"Kollegievej 4, st. 15, 9000 Aalborg, 41572221, Aktiv, Enkeltmandsvirksomhed",,,
ihaaninaan transport,"Absalonsgade 9B, 2. 2, 9000 Aalborg, 43704966, Aktiv, Enkeltmandsvirksomhed",,,
Restaurant VB,"Bådehavnsvej 6, 9000 Aalborg, 30931734, Aktiv, Enkeltmandsvirksomhed",,,
Mortens Kro v/ Morten Nielsen,"Mølleå 2 - 6, 9000 Aalborg, 20342536, Aktiv, Enkeltmandsvirksomhed",,,
Den lille havfrue v/ Ronni pedersen,"Hadsundvej 14, 9000 Aalborg, 31147603, Aktiv, Enkeltmandsvirksomhed",,,
På Fjorden AVI,"Akvavitvej 23, 9000 Aalborg, 37941786, Aktiv, Enkeltmandsvirksomhed",,,
Pizza Pasta Place,"Hadsundvej 1C, 9000 Aalborg, 27916023, Aktiv, Enkeltmandsvirksomhed",,,
Tony's Pizzaria,"Mølleparkvej 7, 1., 9000 Aalborg, 21248576, Aktiv, Enkeltmandsvirksomhed",,,
Yasmin Cafè - Anatoliens køkken,"Tornhøjgård 21, 9220 Aalborg Øst, 25240715, Aktiv, Enkeltmandsvirksomhed",,,
Cafe Bord 1 I/S v/Anne-Mette Henriksen og Jacob Henriksen,"C/O Aalborg Storcenter, Hobrovej 452, 9200 Aalborg SV, 28447736, Aktiv, Interessentskab",,,
Nibe Pizza & Steak House,"C/O Serhat Yapici, Toften 5, 9240 Nibe, 42980420, Aktiv, Enkeltmandsvirksomhed",,,
Sams Barbeque I/S,"Bispensgade 18, 9000 Aalborg, 38454234, Aktiv, Interessentskab",,,
Bella Rosa Pizza,"Ellehammersvej 69, 9430 Vadum, 35748970, Aktiv, Enkeltmandsvirksomhed",,,
Pizza King,"Hobrovej 93, st. tv, 9000 Aalborg, 44839075, Aktiv, Enkeltmandsvirksomhed",,,
Pizza House,"Prinsensgade 42, 9000 Aalborg, 45046192, Aktiv, Enkeltmandsvirksomhed",,,
Amantes Mix Pizza,"Thistedvej 73, st. tv, 9400 Nørresundby, 37542423, Aktiv, Enkeltmandsvirksomhed",,,
Kongerslev Pizza & Kebab House,"N.P. Gravesensvej 14, 9293 Kongerslev, 41343885, Aktiv, Enkeltmandsvirksomhed",,,
Felicia Pizzeria,"Jørgen Steins Vej 3A, 9380 Vestbjerg, 44223236, Aktiv, Enkeltmandsvirksomhed",,,
Jeans bistro,"Algade 7, 9000 Aalborg, 40469966, Aktiv, Enkeltmandsvirksomhed",,,
Rayan Mad,"Vestergade 69, 9400 Nørresundby, 43374532, Aktiv, Enkeltmandsvirksomhed",,,
Dailynamfood ApS (Under tvangsopløsning),"Julius Posselts Vej 1D, 2. 8, 9400 Nørresundby, 38829270, Under tvangsopløsning, Anpartsselskab",,,
SkyMac Global Holding ApS (Under konkurs),"Sankelmarksgade 9E, 9000 Aalborg, 42741574, Under konkurs, Anpartsselskab",,,
Nati Restaurant ApS (Under konkurs),"Borgergade 25, kl. tv, 9000 Aalborg, 43644130, Under konkurs, Anpartsselskab",,,
Limfjords ApS (Under konkurs),"Ved Stranden 22, st. th, 9000 Aalborg, 43589067, Under konkurs, Anpartsselskab",,,
Ved Stranden 9 ApS (Under konkurs),"Ved Stranden 9, 9000 Aalborg, 43477951, Under konkurs, Anpartsselskab",,,
Samira ApS (Under konkurs),"Restrup Engvej 51, 9000 Aalborg, 40566333, Under konkurs, Anpartsselskab",,,
BS af 08.06.2022 ApS (Under konkurs),"Østerågade 18A, 9000 Aalborg, 43312472, Under konkurs, Anpartsselskab",,,
